Entité;Catégorie
concrete slab keystone;ARCH_ELEMENT
concrete slab;ARCH_ELEMENT
constituent elements;ARCH_ELEMENT
container;ARCH_ELEMENT
copper rain;ARCH_ELEMENT
cores;ARCH_ELEMENT
corner;ARCH_ELEMENT
cover plates;ARCH_ELEMENT
Cramps;ARCH_ELEMENT
crane;ARCH_ELEMENT
Creep;ARCH_ELEMENT
Cresting;ARCH_ELEMENT
cross of the transept;ARCH_ELEMENT
Cross severing the dead branches;ARCH_ELEMENT
cross;ARCH_ELEMENT
crossing;ARCH_ELEMENT
crossing vault;ARCH_ELEMENT
cross-sections;ARCH_ELEMENT
Crypte;ARCH_ELEMENT
cubic notches;ARCH_ELEMENT
cutouts;ARCH_ELEMENT
decoration;ARCH_ELEMENT
decorative crestings;ARCH_ELEMENT
décors;ARCH_ELEMENT
description of medieval panel roofing;ARCH_ELEMENT
Description of Middle ages framework;ARCH_ELEMENT
diagonals;ARCH_ELEMENT
diamond-shaped glass panels;ARCH_ELEMENT
dining hall;ARCH_ELEMENT
disappeared frameworks;ARCH_ELEMENT
dormer windows;ARCH_ELEMENT
dormitory;ARCH_ELEMENT
double bays;ARCH_ELEMENT
double straight notches;ARCH_ELEMENT
double straight notches;ARCH_ELEMENT
double-bay;ARCH_ELEMENT
dovetail notches;ARCH_ELEMENT
Dowel;ARCH_ELEMENT
drilled core spire;ARCH_ELEMENT
Dry sawn timber;ARCH_ELEMENT
eagle lectern;ARCH_ELEMENT
east transverse arch;ARCH_ELEMENT
eaves;ARCH_ELEMENT
eaves walls;ARCH_ELEMENT
Eaves-bearing walls;ARCH_ELEMENT
Échafaudage;ARCH_ELEMENT
edifice;ARCH_ELEMENT
elevation;ARCH_ELEMENT
elevations;ARCH_ELEMENT
ends;ARCH_ELEMENT
entrances;ARCH_ELEMENT
extrados;ARCH_ELEMENT
façade;ARCH_ELEMENT
facades;ARCH_ELEMENT
facings;ARCH_ELEMENT
fallen voussoirs;ARCH_ELEMENT
fermettes;ARCH_ELEMENT
Ferritic structures;ARCH_ELEMENT
Fibre cell wall;ARCH_ELEMENT
figurative panels;ARCH_ELEMENT
finite element module;ARCH_ELEMENT
first choir;ARCH_ELEMENT
flat surfaces compartment;ARCH_ELEMENT
Floor;ARCH_ELEMENT
floor of the nave;ARCH_ELEMENT
floor;ARCH_ELEMENT
flying buttresses;ARCH_ELEMENT
flying buttresses gallery;ARCH_ELEMENT
flying buttresses windows;ARCH_ELEMENT
forecourt;ARCH_ELEMENT
forest;ARCH_ELEMENT
Forged elements;ARCH_ELEMENT
form;ARCH_ELEMENT
former fixations;ARCH_ELEMENT
formwork;ARCH_ELEMENT
frame;ARCH_ELEMENT
frame pieces;ARCH_ELEMENT
frames;ARCH_ELEMENT
framework;ARCH_ELEMENT
Framework building;ARCH_ELEMENT
framework’s truss;ARCH_ELEMENT
frameworks;ARCH_ELEMENT
framing;ARCH_ELEMENT
furnishings;ARCH_ELEMENT
gables;ARCH_ELEMENT
galleries;ARCH_ELEMENT
gallery;ARCH_ELEMENT
galvanised steel;ARCH_ELEMENT
Gargoyles;ARCH_ELEMENT
gate;ARCH_ELEMENT
glazed areas;ARCH_ELEMENT
Gothic architecture;ARCH_ELEMENT
Gothic cathedrals;ARCH_ELEMENT
Gothic choir;ARCH_ELEMENT
Gothic churches;ARCH_ELEMENT
Gothic cross-ribbed;ARCH_ELEMENT
Gothic cross-ribbed vaults;ARCH_ELEMENT
Gothic jubé;ARCH_ELEMENT
gouttereau walls;ARCH_ELEMENT
great organ;ARCH_ELEMENT
great silver Chasse;ARCH_ELEMENT
grisaille;ARCH_ELEMENT
grisaille windows;ARCH_ELEMENT
grisailles;ARCH_ELEMENT
grooves;ARCH_ELEMENT
Ground;ARCH_ELEMENT
ground floor;ARCH_ELEMENT
ground floor extrados;ARCH_ELEMENT
gutter walls;ARCH_ELEMENT
guttering walls;ARCH_ELEMENT
haunches;ARCH_ELEMENT
heartwood;ARCH_ELEMENT
heritage building;ARCH_ELEMENT
heritage edifices;ARCH_ELEMENT
high altar;ARCH_ELEMENT
high bays;ARCH_ELEMENT
hip roof;ARCH_ELEMENT
hip roof pieces;ARCH_ELEMENT
historic masonry monuments;ARCH_ELEMENT
historic stained-glass windows;ARCH_ELEMENT
historic timber frame;ARCH_ELEMENT
historic windows;ARCH_ELEMENT
historical structures;ARCH_ELEMENT
hole in the vault;ARCH_ELEMENT
hybrid approaches;ARCH_ELEMENT
iconography;ARCH_ELEMENT
Inner chain;ARCH_ELEMENT
inner gallery;ARCH_ELEMENT
inscriptions;ARCH_ELEMENT
interfaces;ARCH_ELEMENT
interior structure;ARCH_ELEMENT
interior structure;ARCH_ELEMENT
Internal tie-rod piece;ARCH_ELEMENT
intrados;ARCH_ELEMENT
intrados of the voussoirs;ARCH_ELEMENT
intricate structures;ARCH_ELEMENT
iron alloy cramps;ARCH_ELEMENT
Iron armatures;ARCH_ELEMENT
Iron bars;ARCH_ELEMENT
Iron chains;ARCH_ELEMENT
iron clamps;ARCH_ELEMENT
Iron cramps;ARCH_ELEMENT
Iron cresting;ARCH_ELEMENT
iron frameworks;ARCH_ELEMENT
iron reinforcement;ARCH_ELEMENT
Iron tie-rods;ARCH_ELEMENT
joint contact faces;ARCH_ELEMENT
joint faces;ARCH_ELEMENT
joints;ARCH_ELEMENT
jubé;ARCH_ELEMENT
keystone;ARCH_ELEMENT
lagging planks;ARCH_ELEMENT
large arches;ARCH_ELEMENT
large roses;ARCH_ELEMENT
large vault;ARCH_ELEMENT
later reinforcements;ARCH_ELEMENT
lateral north wing;ARCH_ELEMENT
lateral spandrels;ARCH_ELEMENT
lead;ARCH_ELEMENT
lead cames;ARCH_ELEMENT
lead cramps;ARCH_ELEMENT
lead elements;ARCH_ELEMENT
lead joints;ARCH_ELEMENT
lead plates;ARCH_ELEMENT
lead roof;ARCH_ELEMENT
lead roofs;ARCH_ELEMENT
lead sealings;ARCH_ELEMENT
lead tiles;ARCH_ELEMENT
lead-covered roof;ARCH_ELEMENT
limestone;ARCH_ELEMENT
limestone blocks;ARCH_ELEMENT
limestone cores;ARCH_ELEMENT
lodge;ARCH_ELEMENT
Long oak beams;ARCH_ELEMENT
lower chapels;ARCH_ELEMENT
lower lateral spandrels;ARCH_ELEMENT
lug bars;ARCH_ELEMENT
Lutetian limestone;ARCH_ELEMENT
Main altar;ARCH_ELEMENT
main entrance;ARCH_ELEMENT
main trusses N09;ARCH_ELEMENT
main trusses N11;ARCH_ELEMENT
mainframe;ARCH_ELEMENT
markings;ARCH_ELEMENT
marquees;ARCH_ELEMENT
masks;ARCH_ELEMENT
masonry;ARCH_ELEMENT
masonry elements;ARCH_ELEMENT
masonry structures;ARCH_ELEMENT
master trusses;ARCH_ELEMENT
mays;ARCH_ELEMENT
Mays;ARCH_ELEMENT
medallions;ARCH_ELEMENT
mediaeval roof truss;ARCH_ELEMENT
medieval construction;ARCH_ELEMENT
medieval Forest;ARCH_ELEMENT
medieval frames;ARCH_ELEMENT
medieval rose;ARCH_ELEMENT
medieval roses;ARCH_ELEMENT
medieval timber roofs;ARCH_ELEMENT
metal structures;ARCH_ELEMENT
Metallic microstructure;ARCH_ELEMENT
Metallic structures;ARCH_ELEMENT
mid-13th century spans;ARCH_ELEMENT
Middle ages frame;ARCH_ELEMENT
Middle ages framework;ARCH_ELEMENT
Middle ages timber Frame;ARCH_ELEMENT
middle bays;ARCH_ELEMENT
mitre cuts;ARCH_ELEMENT
molded faces;ARCH_ELEMENT
molding;ARCH_ELEMENT
moldings;ARCH_ELEMENT
moles;ARCH_ELEMENT
molten lead;ARCH_ELEMENT
Monolithic columns;ARCH_ELEMENT
monumental masonry structures;ARCH_ELEMENT
monuments;ARCH_ELEMENT
mortar interfaces;ARCH_ELEMENT
mortar joints;ARCH_ELEMENT
mortar-block interface;ARCH_ELEMENT
Mortise;ARCH_ELEMENT
mullion;ARCH_ELEMENT
mullions;ARCH_ELEMENT
multidirectional mechanical loading;ARCH_ELEMENT
narrative windows;ARCH_ELEMENT
National Museum;ARCH_ELEMENT
nave;ARCH_ELEMENT
Nave arch;ARCH_ELEMENT
Nave chapels;ARCH_ELEMENT
nave frame;ARCH_ELEMENT
Nave timber frame;ARCH_ELEMENT
nave's roof;ARCH_ELEMENT
neo-Gothic spire vault;ARCH_ELEMENT
network of troughs;ARCH_ELEMENT
non-figurative stained-glass windows;ARCH_ELEMENT
north arm;ARCH_ELEMENT
north rose windows;ARCH_ELEMENT
North tower;ARCH_ELEMENT
North tower;ARCH_ELEMENT
north wall;ARCH_ELEMENT
northern arm of the transept;ARCH_ELEMENT
northern crossing;ARCH_ELEMENT
northern elevation;ARCH_ELEMENT
notches;ARCH_ELEMENT
Notre-Dame;ARCH_ELEMENT
Notre-Dame beams;ARCH_ELEMENT
Notre-Dame's forest;ARCH_ELEMENT
Oak beams;ARCH_ELEMENT
oak wood frame;ARCH_ELEMENT
openings;ARCH_ELEMENT
oratory;ARCH_ELEMENT
organ;ARCH_ELEMENT
organs;ARCH_ELEMENT
original framework;ARCH_ELEMENT
Ornamental elements;ARCH_ELEMENT
ornamental panels;ARCH_ELEMENT
ornaments;ARCH_ELEMENT
Outer chain;ARCH_ELEMENT
paint;ARCH_ELEMENT
painted façades;ARCH_ELEMENT
painted surfaces;ARCH_ELEMENT
paintings;ARCH_ELEMENT
paints;ARCH_ELEMENT
palisade;ARCH_ELEMENT
Panels;ARCH_ELEMENT
Parpaing;ARCH_ELEMENT
pieces;ARCH_ELEMENT
pier;ARCH_ELEMENT
Piers;ARCH_ELEMENT
pillar centers;ARCH_ELEMENT
pillars;ARCH_ELEMENT
pinnacles;ARCH_ELEMENT
pitched roof;ARCH_ELEMENT
plaster layer;ARCH_ELEMENT
platform;ARCH_ELEMENT
podium;ARCH_ELEMENT
pointed arch;ARCH_ELEMENT
pointed arch;ARCH_ELEMENT
preserved cores;ARCH_ELEMENT
pulpit;ARCH_ELEMENT
quirks;ARCH_ELEMENT
rafter;ARCH_ELEMENT
rafters;ARCH_ELEMENT
rectangular holes;ARCH_ELEMENT
reflective walls pews;ARCH_ELEMENT
reinforcements;ARCH_ELEMENT
rib;ARCH_ELEMENT
rib vault;ARCH_ELEMENT
ribbed vaults;ARCH_ELEMENT
ribs;ARCH_ELEMENT
ridge;ARCH_ELEMENT
ring-links;ARCH_ELEMENT
rolls;ARCH_ELEMENT
rood screen;ARCH_ELEMENT
roof;ARCH_ELEMENT
roof structure;ARCH_ELEMENT
roof truss;ARCH_ELEMENT
roof truss beams;ARCH_ELEMENT
roof;ARCH_ELEMENT
roofing;ARCH_ELEMENT
roofing decor;ARCH_ELEMENT
roofing structures;ARCH_ELEMENT
roofs;ARCH_ELEMENT
rooms;ARCH_ELEMENT
rose;ARCH_ELEMENT
rose of the façade sculpture;ARCH_ELEMENT
rose window;ARCH_ELEMENT
rose windows;ARCH_ELEMENT
roses;ARCH_ELEMENT
Round wood column;ARCH_ELEMENT
Round-wood beams;ARCH_ELEMENT
Rows of cramps;ARCH_ELEMENT
Sacristy;ARCH_ELEMENT
saddle bars;ARCH_ELEMENT
Saint Andrew’s cross;ARCH_ELEMENT
sanctuary steps;ARCH_ELEMENT
sanctuary;ARCH_ELEMENT
Sawn beams;ARCH_ELEMENT
scaffolding;ARCH_ELEMENT
sculptures;ARCH_ELEMENT
sealing;ARCH_ELEMENT
Sealings;ARCH_ELEMENT
seals;ARCH_ELEMENT
second Gothic choir;ARCH_ELEMENT
secondary frames;ARCH_ELEMENT
sections;ARCH_ELEMENT
segments;ARCH_ELEMENT
sexpartite ribbed cathedral roof;ARCH_ELEMENT
sexpartite vault;ARCH_ELEMENT
sexpartite vaulting;ARCH_ELEMENT
sexpartite vaults;ARCH_ELEMENT
shapes and surfaces;ARCH_ELEMENT
sheath holes;ARCH_ELEMENT
side galleries;ARCH_ELEMENT
Sides;ARCH_ELEMENT
sidewalk;ARCH_ELEMENT
Slender beams;ARCH_ELEMENT
small scenes;ARCH_ELEMENT
Softwoods oak Beams;ARCH_ELEMENT
sound holes;ARCH_ELEMENT
south arm;ARCH_ELEMENT
south rose windows;ARCH_ELEMENT
south transept arm;ARCH_ELEMENT
southern transept of York Minste;ARCH_ELEMENT
southern wall;ARCH_ELEMENT
spans;ARCH_ELEMENT
spire;ARCH_ELEMENT
spire remains;ARCH_ELEMENT
Spire timber frame;ARCH_ELEMENT
spire woods;ARCH_ELEMENT
Spruce;ARCH_ELEMENT
Squared beams;ARCH_ELEMENT
Squared timber Beams;ARCH_ELEMENT
Squared wood;ARCH_ELEMENT
stained glass;ARCH_ELEMENT
stained glass paints ironwork;ARCH_ELEMENT
Stained glass panels;ARCH_ELEMENT
stained glass rose;ARCH_ELEMENT
stained glass windows;ARCH_ELEMENT
stained glasses;ARCH_ELEMENT
stained-glass;ARCH_ELEMENT
stained-glass decor;ARCH_ELEMENT
stained-glass windows;ARCH_ELEMENT
stall;ARCH_ELEMENT
stalls;ARCH_ELEMENT
standing structure;ARCH_ELEMENT
Statues;ARCH_ELEMENT
Steel beams;ARCH_ELEMENT
stone armature;ARCH_ELEMENT
stone blocks;ARCH_ELEMENT
stone marks;ARCH_ELEMENT
stone structures;ARCH_ELEMENT
stone/mortar interfaces;ARCH_ELEMENT
stones;ARCH_ELEMENT
stonework;ARCH_ELEMENT
stool of the spire;ARCH_ELEMENT
Straight beams;ARCH_ELEMENT
structural assembly;ARCH_ELEMENT
structural element;ARCH_ELEMENT
structural elements;ARCH_ELEMENT
Structural material fibre Cell wall;ARCH_ELEMENT
structural parts;ARCH_ELEMENT
structure;ARCH_ELEMENT
structures;ARCH_ELEMENT
struts;ARCH_ELEMENT
sub-structures;ARCH_ELEMENT
support;ARCH_ELEMENT
supports;ARCH_ELEMENT
tables;ARCH_ELEMENT
technical floor;ARCH_ELEMENT
thermal loading;ARCH_ELEMENT
tie;ARCH_ELEMENT
tie beam;ARCH_ELEMENT
tie beams;ARCH_ELEMENT
tie rods;ARCH_ELEMENT
Tie-rods;ARCH_ELEMENT
timber;ARCH_ELEMENT
timber beams;ARCH_ELEMENT
timber constructions;ARCH_ELEMENT
timber elements;ARCH_ELEMENT
Timber frame;ARCH_ELEMENT
timber frames;ARCH_ELEMENT
timber roof structure;ARCH_ELEMENT
timber structure;ARCH_ELEMENT
timber structure battens;ARCH_ELEMENT
timber structures;ARCH_ELEMENT
timbers;ARCH_ELEMENT
timberwork;ARCH_ELEMENT
tool marks;ARCH_ELEMENT
tori;ARCH_ELEMENT
towers;ARCH_ELEMENT
tracery;ARCH_ELEMENT
traces of tools;ARCH_ELEMENT
trait de jupiter;ARCH_ELEMENT
trait de jupiter framework;ARCH_ELEMENT
Transept;ARCH_ELEMENT
transept arms;ARCH_ELEMENT
transept crossing;ARCH_ELEMENT
transept facades;ARCH_ELEMENT
transept frame;ARCH_ELEMENT
transept portals;ARCH_ELEMENT
transept rose;ARCH_ELEMENT
Transept roses;ARCH_ELEMENT
transept vaults;ARCH_ELEMENT
transepts;ARCH_ELEMENT
transverse arch;ARCH_ELEMENT
transverse arches;ARCH_ELEMENT
Transverse armatures;ARCH_ELEMENT
Transverse tie-rods;ARCH_ELEMENT
tribune;ARCH_ELEMENT
tribunes;ARCH_ELEMENT
trusses;ARCH_ELEMENT
tympanums;ARCH_ELEMENT
unburnt beams;ARCH_ELEMENT
upper bays;ARCH_ELEMENT
upper part of the vaults;ARCH_ELEMENT
upper walls;ARCH_ELEMENT
upper window;ARCH_ELEMENT
upper windows;ARCH_ELEMENT
vault;ARCH_ELEMENT
vault back;ARCH_ELEMENT
vault curves;ARCH_ELEMENT
vault pieces;ARCH_ELEMENT
vault;ARCH_ELEMENT
vaulting;ARCH_ELEMENT
Vaults;ARCH_ELEMENT
vaults of the nave;ARCH_ELEMENT
vault-support  abutment;ARCH_ELEMENT
Vestiges of the framework;ARCH_ELEMENT
voussoirs;ARCH_ELEMENT
voussoirs debris;ARCH_ELEMENT
wall paintings;ARCH_ELEMENT
wall plates;ARCH_ELEMENT
Walls;ARCH_ELEMENT
webbings;ARCH_ELEMENT
wedges;ARCH_ELEMENT
west facade;ARCH_ELEMENT
western facade;ARCH_ELEMENT
western rose;ARCH_ELEMENT
western rose window;ARCH_ELEMENT
western wall;ARCH_ELEMENT
window;ARCH_ELEMENT
window bays;ARCH_ELEMENT
window jambs;ARCH_ELEMENT
window tympanums;ARCH_ELEMENT
windows;ARCH_ELEMENT
Windows’ structure;ARCH_ELEMENT
Wood;ARCH_ELEMENT
wood beams;ARCH_ELEMENT
wood constructions;ARCH_ELEMENT
wood frame;ARCH_ELEMENT
wood framework;ARCH_ELEMENT
Wood framing;ARCH_ELEMENT
wood sections;ARCH_ELEMENT
Wood staves;ARCH_ELEMENT
wooden backs of the stalls;ARCH_ELEMENT
wooden beam;ARCH_ELEMENT
Wooden beams;ARCH_ELEMENT
wooden choir stalls;ARCH_ELEMENT
wooden formwork;ARCH_ELEMENT
wooden frame;ARCH_ELEMENT
wooden panels;ARCH_ELEMENT
Wooden pathway;ARCH_ELEMENT
wooden pieces;ARCH_ELEMENT
wooden roof;ARCH_ELEMENT
wooden structures;ARCH_ELEMENT
wooden timberwork;ARCH_ELEMENT
wrought-iron door;ARCH_ELEMENT
W-shaped groove;ARCH_ELEMENT
abbey church;ARCH_SPACE
aerial work platform;ARCH_SPACE
AGLAE facility;ARCH_SPACE
ancient foundries;ARCH_SPACE
archéologique de l’île de la Cité;ARCH_SPACE
Archeovision lab;ARCH_SPACE
assembly;ARCH_SPACE
attic;ARCH_SPACE
attic space;ARCH_SPACE
building site;ARCH_SPACE
building’s architecture;ARCH_SPACE
carpentry platform;ARCH_SPACE
cathedral;ARCH_SPACE
cathedral workshop;ARCH_SPACE
Cathedrals;ARCH_SPACE
Chapel of the Virgin;ARCH_SPACE
choir;ARCH_SPACE
church;ARCH_SPACE
compartments;ARCH_SPACE
Connecting zones;ARCH_SPACE
construction;ARCH_SPACE
construction leads;ARCH_SPACE
construction phases;ARCH_SPACE
construction site;ARCH_SPACE
cross section;ARCH_SPACE
cubicles;ARCH_SPACE
difficult access to the roof;ARCH_SPACE
docks;ARCH_SPACE
Domestic building;ARCH_SPACE
east transverse arch;ARCH_SPACE
entrance to the sacristy;ARCH_SPACE
exhibition area;ARCH_SPACE
field;ARCH_SPACE
field before sampling;ARCH_SPACE
floor inside the building;ARCH_SPACE
floor of the nave;ARCH_SPACE
floor plan;ARCH_SPACE
Forest;ARCH_SPACE
Gothic choir;ARCH_SPACE
Guadalupe chapel Notre-Dame;ARCH_SPACE
historic buildings;ARCH_SPACE
interior layout;ARCH_SPACE
location of choirboys during the Late Middle Ages and the Modern Period;ARCH_SPACE
main building;ARCH_SPACE
medieval construction site summit;ARCH_SPACE
nave;ARCH_SPACE
open-floor areas;ARCH_SPACE
Parisian quarries;ARCH_SPACE
quarries;ARCH_SPACE
restoration site;ARCH_SPACE
restoration worksite;ARCH_SPACE
restoration yards;ARCH_SPACE
restored sections;ARCH_SPACE
ritual spaces;ARCH_SPACE
roof space;ARCH_SPACE
Saint Éloi chapel;ARCH_SPACE
Sainte-Chapelle;ARCH_SPACE
Saint-Ferdinand chapel;ARCH_SPACE
Saint-Maximin quarry;ARCH_SPACE
sanctuary;ARCH_SPACE
scientific worksites;ARCH_SPACE
second Gothic choir;ARCH_SPACE
section of the choir;ARCH_SPACE
secure locations;ARCH_SPACE
site;ARCH_SPACE
sites;ARCH_SPACE
solid carpentry platform;ARCH_SPACE
soundscape;ARCH_SPACE
Southern transept;ARCH_SPACE
space;ARCH_SPACE
special photographic chambers;ARCH_SPACE
specific areas;ARCH_SPACE
stone construction platform;ARCH_SPACE
storage under marquees;ARCH_SPACE
timber platform;ARCH_SPACE
transept crossing;ARCH_SPACE
upper bays;ARCH_SPACE
vault;ARCH_SPACE
warehouse;ARCH_SPACE
western façade;ARCH_SPACE
work site;ARCH_SPACE
worksite;ARCH_SPACE
zone;ARCH_SPACE
19th-century lead;CHEM_COMPOUND
206Pb/207Pb;CHEM_COMPOUND
208Pb/206Pb;CHEM_COMPOUND
232Th;CHEM_COMPOUND
235U;CHEM_COMPOUND
238U;CHEM_COMPOUND
acetone;CHEM_COMPOUND
Ag;CHEM_COMPOUND
albite;CHEM_COMPOUND
antimony;CHEM_COMPOUND
aqua regia;CHEM_COMPOUND
aragonite;CHEM_COMPOUND
Bi;CHEM_COMPOUND
bismuth;CHEM_COMPOUND
calcite;CHEM_COMPOUND
Calcium;CHEM_COMPOUND
calcium silicate hydrate;CHEM_COMPOUND
CaO;CHEM_COMPOUND
carbon;CHEM_COMPOUND
Carbon cresting;CHEM_COMPOUND
Cd;CHEM_COMPOUND
cellulose;CHEM_COMPOUND
chemical treatment;CHEM_COMPOUND
contaminants;CHEM_COMPOUND
coolant reactants;CHEM_COMPOUND
C-S-H;CHEM_COMPOUND
Cu;CHEM_COMPOUND
decay period of 14C;CHEM_COMPOUND
demineralized water;CHEM_COMPOUND
Differences in lead elemental signatures;CHEM_COMPOUND
elemental concentrations of metals and metalloids;CHEM_COMPOUND
Ellagitannins;CHEM_COMPOUND
environmental contamination;CHEM_COMPOUND
enzyme;CHEM_COMPOUND
ethanol;CHEM_COMPOUND
evaporative fractionation;CHEM_COMPOUND
geochemical lead;CHEM_COMPOUND
gypsum;CHEM_COMPOUND
hemicellulose;CHEM_COMPOUND
interaction of lead compounds with different materials;CHEM_COMPOUND
internal lead sources;CHEM_COMPOUND
Iron oxide;CHEM_COMPOUND
iron oxides;CHEM_COMPOUND
isotopic compositions;CHEM_COMPOUND
isotopic ratios in Notre Dame wood;CHEM_COMPOUND
issues related to lead use;CHEM_COMPOUND
issues related to the use of lead;CHEM_COMPOUND
lead compounds;CHEM_COMPOUND
lead isotopes;CHEM_COMPOUND
lead-rich dusts;CHEM_COMPOUND
lignin;CHEM_COMPOUND
metalloids;CHEM_COMPOUND
nature of the oxide compounds layer formed;CHEM_COMPOUND
organic compounds;CHEM_COMPOUND
oxygen;CHEM_COMPOUND
Pb;CHEM_COMPOUND
Phosphorus;CHEM_COMPOUND
polymerization;CHEM_COMPOUND
polypropylene;CHEM_COMPOUND
portlandite;CHEM_COMPOUND
quartz;CHEM_COMPOUND
quartz β;CHEM_COMPOUND
radioactive isotope;CHEM_COMPOUND
rhombohedral calcite;CHEM_COMPOUND
Rubisco enzyme;CHEM_COMPOUND
Sb;CHEM_COMPOUND
Silica;CHEM_COMPOUND
Sn;CHEM_COMPOUND
SO3;CHEM_COMPOUND
sodium thiosulfate;CHEM_COMPOUND
stables isotopes of lead (204Pb, 206Pb, 207Pb, 208Pb);CHEM_COMPOUND
sugar;CHEM_COMPOUND
Sulfate;CHEM_COMPOUND
sulphates;CHEM_COMPOUND
Tannin family;CHEM_COMPOUND
tridymite;CHEM_COMPOUND
wood cellulose;CHEM_COMPOUND
colorimetric data;COLOR
colorimetric domains;COLOR
colourless;COLOR
painted borders;COLOR
RGB domain;COLOR
uncoloured glass;COLOR
Art Graphique et Patrimoine;COMPANY
Art graphique et patrimoine company (AGP);COMPANY
ARTEMIS;COMPANY
Arts Graphiques et Patrimoine;COMPANY
BESTREMA engineering office;COMPANY
Carlos;COMPANY
Carlos B.V.;COMPANY
Carpenter;COMPANY
Carpenter without Borders;COMPANY
Carpenters without borders;COMPANY
carpenters’ corporation;COMPANY
Compagnons Passants Charpentiers du Devoir;COMPANY
company SGLM;COMPANY
corporations;COMPANY
DreamAway;COMPANY
Durand company;COMPANY
Europe Échafaudage scaffolding company;COMPANY
FlyView;COMPANY
Friends of Notre-Dame;COMPANY
GEA;COMPANY
Histovery company;COMPANY
Hôtel and esplanade of the Invalides;COMPANY
Jarnias;COMPANY
Life3D company;COMPANY
Loïc Espinasse;COMPANY
Mercurio;COMPANY
Pierrenoël;COMPANY
private companies;COMPANY
Sotheby’s;COMPANY
Vannucci;COMPANY
Zimmer;COMPANY
architectural construction;CONSTRUCTION_ACT
architectural design;CONSTRUCTION_ACT
architectural history;CONSTRUCTION_ACT
assembly details;CONSTRUCTION_ACT
association of metals in the building strategy;CONSTRUCTION_ACT
Beginning of Notre-Dame construction;CONSTRUCTION_ACT
beginning of the construction of the choir;CONSTRUCTION_ACT
building during the 12th-13th centuries;CONSTRUCTION_ACT
campaign to provide better lighting in the 18th century;CONSTRUCTION_ACT
capture of roof opening;CONSTRUCTION_ACT
climate reconstruction;CONSTRUCTION_ACT
construction;CONSTRUCTION_ACT
construction of a given monument;CONSTRUCTION_ACT
construction of the building;CONSTRUCTION_ACT
Construction period;CONSTRUCTION_ACT
construction phases;CONSTRUCTION_ACT
Construction practices;CONSTRUCTION_ACT
construction process;CONSTRUCTION_ACT
construction techniques;CONSTRUCTION_ACT
dating of construction phases;CONSTRUCTION_ACT
design;CONSTRUCTION_ACT
design development;CONSTRUCTION_ACT
dovetail notches assemblies;CONSTRUCTION_ACT
edification;CONSTRUCTION_ACT
elements of the work in progress;CONSTRUCTION_ACT
engraving;CONSTRUCTION_ACT
evolutionary design;CONSTRUCTION_ACT
extraction;CONSTRUCTION_ACT
formwork;CONSTRUCTION_ACT
French traditional craft;CONSTRUCTION_ACT
geometric construction;CONSTRUCTION_ACT
High Gothic art;CONSTRUCTION_ACT
history of Gothic architecture;CONSTRUCTION_ACT
implementation;CONSTRUCTION_ACT
inventory operations;CONSTRUCTION_ACT
joinery techniques;CONSTRUCTION_ACT
lead mixing;CONSTRUCTION_ACT
lead uses;CONSTRUCTION_ACT
manufacturing;CONSTRUCTION_ACT
masonry;CONSTRUCTION_ACT
metal manufacturing and shaping;CONSTRUCTION_ACT
metallurgical operation;CONSTRUCTION_ACT
mitre cuts;CONSTRUCTION_ACT
original construction;CONSTRUCTION_ACT
production of new windows;CONSTRUCTION_ACT
raising;CONSTRUCTION_ACT
random claving;CONSTRUCTION_ACT
restoration charts;CONSTRUCTION_ACT
roofing;CONSTRUCTION_ACT
separation of lead sealings in the tribunes;CONSTRUCTION_ACT
stone cutting;CONSTRUCTION_ACT
strutting;CONSTRUCTION_ACT
the first period: the elevation of the choir and the chevet;CONSTRUCTION_ACT
Timber use;CONSTRUCTION_ACT
Tree felling;CONSTRUCTION_ACT
Trunk deconstruction;CONSTRUCTION_ACT
wooden product manufacturing;CONSTRUCTION_ACT
3D computer;DEVICE
3D laser scanner;DEVICE
3D laser;DEVICE
3D scanner;DEVICE
3D viewer;DEVICE
AccuPyc II 1340 Micromeritics® pycnometer;DEVICE
aerial work platform;DEVICE
APS-C sensor;DEVICE
artificial targets;DEVICE
Autopore IV Micromeritics®;DEVICE
bar code;DEVICE
binocular lens;DEVICE
binoculars;DEVICE
blast furnaces;DEVICE
Bloomery furnaces;DEVICE
Brads;DEVICE
Bruker® D8 Advance X-ray diffractometer;DEVICE
cable cam;DEVICE
cable cams;DEVICE
calculators;DEVICE
camera settings;DEVICE
cameras;DEVICE
carbon rod;DEVICE
claw chisel;DEVICE
compact camera Sony RX100 Mk1;DEVICE
compass;DEVICE
computers;DEVICE
depth gauge;DEVICE
device;DEVICE
Digiprep SCP;DEVICE
digital devices;DEVICE
digital tablet;DEVICE
drone;DEVICE
drones;DEVICE
DSLR Nikon D200;DEVICE
ECHoMICADAS;DEVICE
elemental analyzer (TC-EA);DEVICE
Energy-Dispersive Spectrometer;DEVICE
Energy-Dispersive Spectrometer (Bruker®);DEVICE
equipment;DEVICE
facing hammer;DEVICE
Faro focus 3D;DEVICE
FEI® Quanta 650 FEG scanning electron microscope;DEVICE
fisheye;DEVICE
Geophysical means of detection;DEVICE
gloves;DEVICE
hanging rope;DEVICE
helmets;DEVICE
Hilti® DD30-W core drill;DEVICE
HistoPad (touch tablet);DEVICE
Huma-Num Box server;DEVICE
instruments;DEVICE
ion beam;DEVICE
