Entité;Catégorie;Entité_FR
lead;ARCH_ELEMENT;plomb
lead cames;ARCH_ELEMENT;armatures en plomb
lead cramps;ARCH_ELEMENT;chevilles en plomb
lead elements;ARCH_ELEMENT;éléments en plomb
lead joints;ARCH_ELEMENT;joints en plomb
lead plates;ARCH_ELEMENT;plaques de plomb
lead roof;ARCH_ELEMENT;toit en plomb
lead roofs;ARCH_ELEMENT;toits en plomb
lead sealings;ARCH_ELEMENT;étanchéités en plomb
lead tiles;ARCH_ELEMENT;tuiles en plomb
lead-covered roof;ARCH_ELEMENT;toit recouvert de plomb
limestone;ARCH_ELEMENT;calcaire
limestone blocks;ARCH_ELEMENT;blocs de calcaire
limestone cores;ARCH_ELEMENT;cœurs de calcaire
lodge;ARCH_ELEMENT;logis
Long oak beams;ARCH_ELEMENT;poutres en chêne longues
lower chapels;ARCH_ELEMENT;chapelles inférieures
lower lateral spandrels;ARCH_ELEMENT;fermes latérales inférieures
lug bars;ARCH_ELEMENT;barres d'attache
Lutetian limestone;ARCH_ELEMENT;calcaire lutétien
Main altar;ARCH_ELEMENT;autel principal
main entrance;ARCH_ELEMENT;entrée principale
main trusses N09;ARCH_ELEMENT;fermes principales N09
main trusses N11;ARCH_ELEMENT;fermes principales N11
mainframe;ARCH_ELEMENT;charpente principale
markings;ARCH_ELEMENT;marques
marquees;ARCH_ELEMENT;auvents
masks;ARCH_ELEMENT;masques
masonry;ARCH_ELEMENT;maçonnerie
masonry elements;ARCH_ELEMENT;éléments de maçonnerie
masonry structures;ARCH_ELEMENT;structures en maçonnerie
master trusses;ARCH_ELEMENT;fermes maîtresses
mays;ARCH_ELEMENT;Mai
Mays;ARCH_ELEMENT;Mai
medallions;ARCH_ELEMENT;médaillons
mediaeval roof truss;ARCH_ELEMENT;charpente médiévale de toit
medieval construction;ARCH_ELEMENT;construction médiévale
medieval Forest;ARCH_ELEMENT;forêt médiévale
medieval frames;ARCH_ELEMENT;cadres médiévaux
medieval rose;ARCH_ELEMENT;rose médiévale
medieval roses;ARCH_ELEMENT;roses médiévales
medieval timber roofs;ARCH_ELEMENT;toitures en bois médiévales
metal structures;ARCH_ELEMENT;structures métalliques
Metallic microstructure;ARCH_ELEMENT;microstructure métallique
Metallic structures;ARCH_ELEMENT;structures métalliques
mid-13th century spans;ARCH_ELEMENT;traversées du milieu du XIIIe siècle
Middle ages frame;ARCH_ELEMENT;cadre médiéval
Middle ages framework;ARCH_ELEMENT;charpente médiévale
Middle ages timber Frame;ARCH_ELEMENT;charpente en bois médiévale
middle bays;ARCH_ELEMENT;baies centrales
mitre cuts;ARCH_ELEMENT;coupes d'assemblage à l'angle
molded faces;ARCH_ELEMENT;faces moulurées
molding;ARCH_ELEMENT;moulure
moldings;ARCH_ELEMENT;moulures
moles;ARCH_ELEMENT;moules
molten lead;ARCH_ELEMENT;plomb fondu
Monolithic columns;ARCH_ELEMENT;colonnes monolithiques
monumental masonry structures;ARCH_ELEMENT;structures maçonnées monumentales
monuments;ARCH_ELEMENT;Monuments
mortar interfaces;ARCH_ELEMENT;interfaces de mortier
mortar joints;ARCH_ELEMENT;joints de mortier
mortar-block interface;ARCH_ELEMENT;interface mortier-bloc
Mortise;ARCH_ELEMENT;emmanchement
mullion;ARCH_ELEMENT;traverse
mullions;ARCH_ELEMENT;traverses
multidirectional mechanical loading;ARCH_ELEMENT;chargement mécanique multidirectionnel
narrative windows;ARCH_ELEMENT;verrières narratives
National Museum;ARCH_ELEMENT;Musée national
nave;ARCH_ELEMENT;nef
Nave arch;ARCH_ELEMENT;arcade de la nef
Nave chapels;ARCH_ELEMENT;chapelles de la nef
nave frame;ARCH_ELEMENT;charpente de la nef
Nave timber frame;ARCH_ELEMENT;charpente en bois de la nef
nave's roof;ARCH_ELEMENT;toit de la nef
neo-Gothic spire vault;ARCH_ELEMENT;voûte à flèche néo-gothique
network of troughs;ARCH_ELEMENT;réseau de gouttières
non-figurative stained-glass windows;ARCH_ELEMENT;vitraux non figuratifs
north arm;ARCH_ELEMENT;bras nord
north rose windows;ARCH_ELEMENT;rosaces du nord
North tower;ARCH_ELEMENT;tour nord
North tower;ARCH_ELEMENT;tour nord
north wall;ARCH_ELEMENT;mur nord
northern arm of the transept;ARCH_ELEMENT;bras nord du transept
northern crossing;ARCH_ELEMENT;croisée nord
northern elevation;ARCH_ELEMENT;élévation nord
notches;ARCH_ELEMENT;entailles
Notre-Dame;ARCH_ELEMENT;Notre-Dame
Notre-Dame beams;ARCH_ELEMENT;poutres de Notre-Dame
Notre-Dame's forest;ARCH_ELEMENT;forêt de Notre-Dame
Oak beams;ARCH_ELEMENT;poutres en chêne
oak wood frame;ARCH_ELEMENT;charpente en bois de chêne
openings;ARCH_ELEMENT;ouvertures
oratory;ARCH_ELEMENT;oratoire
organ;ARCH_ELEMENT;orgue
organs;ARCH_ELEMENT;orgues
original framework;ARCH_ELEMENT;charpente d'origine
Ornamental elements;ARCH_ELEMENT;éléments ornementaux
ornamental panels;ARCH_ELEMENT;panneaux ornementaux
ornaments;ARCH_ELEMENT;ornements
Outer chain;ARCH_ELEMENT;chaîne extérieure
paint;ARCH_ELEMENT;peinture
painted façades;ARCH_ELEMENT;façades peintes
painted surfaces;ARCH_ELEMENT;surfaces peintes
paintings;ARCH_ELEMENT;peintures
paints;ARCH_ELEMENT;peintures
palisade;ARCH_ELEMENT;palissade
Panels;ARCH_ELEMENT;panneaux
Parpaing;ARCH_ELEMENT;parpaing
pieces;ARCH_ELEMENT;pièces
pier;ARCH_ELEMENT;pilier
Piers;ARCH_ELEMENT;piers
pillar centers;ARCH_ELEMENT;centres de piliers
pillars;ARCH_ELEMENT;piliers
pinnacles;ARCH_ELEMENT;pinacles
pitched roof;ARCH_ELEMENT;toit en pente
plaster layer;ARCH_ELEMENT;couche de plâtre
platform;ARCH_ELEMENT;plateforme
podium;ARCH_ELEMENT;estrade
pointed arch;ARCH_ELEMENT;arc ogival
pointed arch;ARCH_ELEMENT;arc ogival
preserved cores;ARCH_ELEMENT;cœurs préservés
pulpit;ARCH_ELEMENT;chaire
quirks;ARCH_ELEMENT;particularités
rafter;ARCH_ELEMENT;chevron
rafters;ARCH_ELEMENT;chevrons
rectangular holes;ARCH_ELEMENT;trous rectangulaires
reflective walls pews;ARCH_ELEMENT;bancs contre des murs réfléchissants
reinforcements;ARCH_ELEMENT;renforts
rib;ARCH_ELEMENT;nerf
rib vault;ARCH_ELEMENT;voûte nervurée
ribbed vaults;ARCH_ELEMENT;voûtes nervurées
ribs;ARCH_ELEMENT;nerfs
ridge;ARCH_ELEMENT;faîte
ring-links;ARCH_ELEMENT;anneaux de liaison
rolls;ARCH_ELEMENT;rouleaux
rood screen;ARCH_ELEMENT;grille du chœur
roof;ARCH_ELEMENT;toit
roof structure;ARCH_ELEMENT;structure de toit
roof truss;ARCH_ELEMENT;ferme de toit
roof truss beams;ARCH_ELEMENT;poutres de ferme de toit
roof;ARCH_ELEMENT;toit
roofing;ARCH_ELEMENT;couverture
roofing decor;ARCH_ELEMENT;décoration de couverture
roofing structures;ARCH_ELEMENT;structures de couverture
roofs;ARCH_ELEMENT;toits
rooms;ARCH_ELEMENT;pièces
rose;ARCH_ELEMENT;rose
rose of the façade sculpture;ARCH_ELEMENT;rose de la sculpture du fronton
rose window;ARCH_ELEMENT;rosace
rose windows;ARCH_ELEMENT;rosaces
roses;ARCH_ELEMENT;roses
Round wood column;ARCH_ELEMENT;colonne en bois rond
Round-wood beams;ARCH_ELEMENT;poutres en bois rond
Rows of cramps;ARCH_ELEMENT;rangées de crampons
Sacristy;ARCH_ELEMENT;sacristie
saddle bars;ARCH_ELEMENT;barres d'encolure
Saint Andrew’s cross;ARCH_ELEMENT;croix de Saint-André
sanctuary steps;ARCH_ELEMENT;marches du chœur
sanctuary;ARCH_ELEMENT;chœur
Sawn beams;ARCH_ELEMENT;poutres sciées
scaffolding;ARCH_ELEMENT;échafaudage
sculptures;ARCH_ELEMENT;sculptures
sealing;ARCH_ELEMENT;étanchéisation
Sealings;ARCH_ELEMENT;étanchéisations
seals;ARCH_ELEMENT;cachets
second Gothic choir;ARCH_ELEMENT;deuxième chœur gothique
secondary frames;ARCH_ELEMENT;cadres secondaires
sections;ARCH_ELEMENT;sections
segments;ARCH_ELEMENT;segments
sexpartite ribbed cathedral roof;ARCH_ELEMENT;toiture cathédrale sexpartite à nervures
sexpartite vault;ARCH_ELEMENT;voûte sexpartite
sexpartite vaulting;ARCH_ELEMENT;charpente sexpartite
sexpartite vaults;ARCH_ELEMENT;voûtes sexpartites
shapes and surfaces;ARCH_ELEMENT;formes et surfaces
sheath holes;ARCH_ELEMENT;trous de gaine
side galleries;ARCH_ELEMENT;galeries latérales
Sides;ARCH_ELEMENT;Côtés
sidewalk;ARCH_ELEMENT;trottoir
Slender beams;ARCH_ELEMENT;poutres fines
small scenes;ARCH_ELEMENT;scènes petites
Softwoods oak Beams;ARCH_ELEMENT;poutres en chêne de bois tendre
sound holes;ARCH_ELEMENT;ouvertures sonores
south arm;ARCH_ELEMENT;bras sud
south rose windows;ARCH_ELEMENT;rosaces sud
south transept arm;ARCH_ELEMENT;bras du transept sud
southern transept of York Minste;ARCH_ELEMENT;southern transept of York Minste
southern wall;ARCH_ELEMENT;mur sud
spans;ARCH_ELEMENT;portées
spire;ARCH_ELEMENT;flèche
spire remains;ARCH_ELEMENT;restes de la flèche
Spire timber frame;ARCH_ELEMENT;charpente de la flèche
spire woods;ARCH_ELEMENT;bois de flèche
Spruce;ARCH_ELEMENT;épicéa
Squared beams;ARCH_ELEMENT;poutres équarries
Squared timber Beams;ARCH_ELEMENT;poutres en bois équarries
Squared wood;ARCH_ELEMENT;bois équarris
stained glass;ARCH_ELEMENT;vitrail
stained glass paints ironwork;ARCH_ELEMENT;peintures de vitraux et ferronnerie
Stained glass panels;ARCH_ELEMENT;panneaux de vitraux
stained glass rose;ARCH_ELEMENT;rose en vitrail
stained glass windows;ARCH_ELEMENT;fenêtres en vitraux
stained glasses;ARCH_ELEMENT;vitraux
stained-glass;ARCH_ELEMENT;vitrail
stained-glass decor;ARCH_ELEMENT;décor en vitrail
stained-glass windows;ARCH_ELEMENT;stained-glass windows
stall;ARCH_ELEMENT;stalle
stalls;ARCH_ELEMENT;stalles
standing structure;ARCH_ELEMENT;structure debout
Statues;ARCH_ELEMENT;statues
Steel beams;ARCH_ELEMENT;poutres en acier
stone armature;ARCH_ELEMENT;armature en pierre
stone blocks;ARCH_ELEMENT;blocs de pierre
stone marks;ARCH_ELEMENT;marques sur la pierre
stone structures;ARCH_ELEMENT;structures en pierre
stone/mortar interfaces;ARCH_ELEMENT;interfaces pierre/béton
stones;ARCH_ELEMENT;pierres
stonework;ARCH_ELEMENT;maçonnerie
stool of the spire;ARCH_ELEMENT;socle de la flèche
Straight beams;ARCH_ELEMENT;poutres droites
structural assembly;ARCH_ELEMENT;assemblage structurel
structural element;ARCH_ELEMENT;élément structurel
structural elements;ARCH_ELEMENT;éléments structurels
Structural material fibre Cell wall;ARCH_ELEMENT;Structural material fibre Cell wall
structural parts;ARCH_ELEMENT;parties structurelles
structure;ARCH_ELEMENT;structure
structures;ARCH_ELEMENT;structures
struts;ARCH_ELEMENT;étais
sub-structures;ARCH_ELEMENT;sous-structures
support;ARCH_ELEMENT;support
supports;ARCH_ELEMENT;supports
tables;ARCH_ELEMENT;tables
technical floor;ARCH_ELEMENT;plancher technique
thermal loading;ARCH_ELEMENT;charge thermique
tie;ARCH_ELEMENT;liaison
tie beam;ARCH_ELEMENT;poutre de liaison
tie beams;ARCH_ELEMENT;poutres de liaison
tie rods;ARCH_ELEMENT;tiges filetées
Tie-rods;ARCH_ELEMENT;tiges de liaison
timber;ARCH_ELEMENT;bois
timber beams;ARCH_ELEMENT;poutres en bois
timber constructions;ARCH_ELEMENT;constructions en bois
timber elements;ARCH_ELEMENT;éléments en bois
Timber frame;ARCH_ELEMENT;charpente en bois
timber frames;ARCH_ELEMENT;charpentes en bois
timber roof structure;ARCH_ELEMENT;structure de toiture en bois
timber structure;ARCH_ELEMENT;structure en bois
timber structure battens;ARCH_ELEMENT;lattes de structure en bois
timber structures;ARCH_ELEMENT;structures en bois
timbers;ARCH_ELEMENT;bois (au pluriel)
timberwork;ARCH_ELEMENT;charpente en bois
tool marks;ARCH_ELEMENT;marques d'outils
tori;ARCH_ELEMENT;torii
towers;ARCH_ELEMENT;tours
tracery;ARCH_ELEMENT;tracé
traces of tools;ARCH_ELEMENT;traces d'outils
trait de jupiter;ARCH_ELEMENT;trait de Jupiter
trait de jupiter framework;ARCH_ELEMENT;cadre du trait de Jupiter
Transept;ARCH_ELEMENT;transept
transept arms;ARCH_ELEMENT;bras du transept
transept crossing;ARCH_ELEMENT;croisée du transept
transept facades;ARCH_ELEMENT;façades du transept
transept frame;ARCH_ELEMENT;cadre du transept
transept portals;ARCH_ELEMENT;portails du transept
transept rose;ARCH_ELEMENT;rose du transept
Transept roses;ARCH_ELEMENT;roses du transept
transept vaults;ARCH_ELEMENT;voûtes du transept
transepts;ARCH_ELEMENT;transepts
transverse arch;ARCH_ELEMENT;arche transversale
transverse arches;ARCH_ELEMENT;arches transversales
Transverse armatures;ARCH_ELEMENT;armatures transversales
Transverse tie-rods;ARCH_ELEMENT;tirants transversaux
tribune;ARCH_ELEMENT;tribune
tribunes;ARCH_ELEMENT;tribunes
trusses;ARCH_ELEMENT;fermes
tympanums;ARCH_ELEMENT;tympanes
unburnt beams;ARCH_ELEMENT;poutres non brûlées
upper bays;ARCH_ELEMENT;baies supérieures
upper part of the vaults;ARCH_ELEMENT;partie supérieure des voûtes
upper walls;ARCH_ELEMENT;murs supérieurs
upper window;ARCH_ELEMENT;fenêtre haute
upper windows;ARCH_ELEMENT;fenêtres hautes
vault;ARCH_ELEMENT;voûte
vault back;ARCH_ELEMENT;dos de la voûte
vault curves;ARCH_ELEMENT;courbes de la voûte
vault pieces;ARCH_ELEMENT;éléments de la voûte
vault;ARCH_ELEMENT;voûte
vaulting;ARCH_ELEMENT;voûtement
Vaults;ARCH_ELEMENT;Voûtes
vaults of the nave;ARCH_ELEMENT;voûtes de la nef
vault-support  abutment;ARCH_ELEMENT;vault-support  abutment
Vestiges of the framework;ARCH_ELEMENT;vestiges du cadre
voussoirs;ARCH_ELEMENT;voussoirs
voussoirs debris;ARCH_ELEMENT;débris de voussoirs
wall paintings;ARCH_ELEMENT;peintures murales
wall plates;ARCH_ELEMENT;planches de mur
Walls;ARCH_ELEMENT;Murs
webbings;ARCH_ELEMENT;renforts
wedges;ARCH_ELEMENT;coinss
west facade;ARCH_ELEMENT;façade ouest
western facade;ARCH_ELEMENT;façade occidentale
western rose;ARCH_ELEMENT;rose occidentale
western rose window;ARCH_ELEMENT;rosace occidentale
western wall;ARCH_ELEMENT;mur occidental
window;ARCH_ELEMENT;fenêtre
window bays;ARCH_ELEMENT;baies fenêtrées
window jambs;ARCH_ELEMENT;montants de fenêtre
window tympanums;ARCH_ELEMENT;tympanaux de fenêtre
windows;ARCH_ELEMENT;fenêtres
Windows’ structure;ARCH_ELEMENT;structure des fenêtres
Wood;ARCH_ELEMENT;bois
wood beams;ARCH_ELEMENT;poutres en bois
wood constructions;ARCH_ELEMENT;constructions en bois
wood frame;ARCH_ELEMENT;charpente en bois
wood framework;ARCH_ELEMENT;charpente en bois
Wood framing;ARCH_ELEMENT;ossature en bois
wood sections;ARCH_ELEMENT;sections de bois
Wood staves;ARCH_ELEMENT;lattes de bois
wooden backs of the stalls;ARCH_ELEMENT;dossiers des stalles
wooden beam;ARCH_ELEMENT;poutre en bois
Wooden beams;ARCH_ELEMENT;poutres en bois
wooden choir stalls;ARCH_ELEMENT;stalles du chœur
wooden formwork;ARCH_ELEMENT;coffrage en bois
wooden frame;ARCH_ELEMENT;cadre en bois
wooden panels;ARCH_ELEMENT;panneaux en bois
Wooden pathway;ARCH_ELEMENT;passerelle en bois
wooden pieces;ARCH_ELEMENT;pièces en bois
wooden roof;ARCH_ELEMENT;toiture en bois
wooden structures;ARCH_ELEMENT;structures en bois
wooden timberwork;ARCH_ELEMENT;charpente en bois
wrought-iron door;ARCH_ELEMENT;porte en fer forgé
W-shaped groove;ARCH_ELEMENT;rainure en W
abbey church;ARCH_SPACE;église abbatiale
aerial work platform;ARCH_SPACE;nacelle élévatrice
AGLAE facility;ARCH_SPACE;installation AGLAE
ancient foundries;ARCH_SPACE;fonderies anciennes
archéologique de l’île de la Cité;ARCH_SPACE;archéologie de l'île de la Cité
Archeovision lab;ARCH_SPACE;laboratoire Archeovision
assembly;ARCH_SPACE;assemblage
attic;ARCH_SPACE;combles
attic space;ARCH_SPACE;espace des combles
building site;ARCH_SPACE;chantier
building’s architecture;ARCH_SPACE;architecture du bâtiment
carpentry platform;ARCH_SPACE;plateforme de charpente
cathedral;ARCH_SPACE;cathédrale
cathedral workshop;ARCH_SPACE;atelier de cathédrale
Cathedrals;ARCH_SPACE;Cathédrales
Chapel of the Virgin;ARCH_SPACE;Chapelle de la Vierge
choir;ARCH_SPACE;chœur
church;ARCH_SPACE;église
compartments;ARCH_SPACE;compartiments
Connecting zones;ARCH_SPACE;zones de connexion
construction;ARCH_SPACE;construction
construction leads;ARCH_SPACE;directions de construction
construction phases;ARCH_SPACE;phases de construction
construction site;ARCH_SPACE;chantier de construction
cross section;ARCH_SPACE;section transversale
cubicles;ARCH_SPACE;cubículos
difficult access to the roof;ARCH_SPACE;accès difficile au toit
docks;ARCH_SPACE;quais
Domestic building;ARCH_SPACE;bâtiment domestique
east transverse arch;ARCH_SPACE;arc transversal est
entrance to the sacristy;ARCH_SPACE;entrée de la sacristie
exhibition area;ARCH_SPACE;espace d'exposition
field;ARCH_SPACE;terrain
field before sampling;ARCH_SPACE;terrain avant prélèvement
floor inside the building;ARCH_SPACE;sol à l'intérieur du bâtiment
floor of the nave;ARCH_SPACE;sol de la nef
floor plan;ARCH_SPACE;plan de niveau
Forest;ARCH_SPACE;forêt
Gothic choir;ARCH_SPACE;choeur gothique
Guadalupe chapel Notre-Dame;ARCH_SPACE;chapelle Notre-Dame de Guadalupe
historic buildings;ARCH_SPACE;bâtiments historiques
interior layout;ARCH_SPACE;disposition intérieure
location of choirboys during the Late Middle Ages and the Modern Period;ARCH_SPACE;emplacement des choristes pendant la fin du Moyen Âge et l'époque moderne
main building;ARCH_SPACE;bâtiment principal
medieval construction site summit;ARCH_SPACE;sommet du chantier médiéval
nave;ARCH_SPACE;nef
open-floor areas;ARCH_SPACE;espaces à plan libre
Parisian quarries;ARCH_SPACE;carrières parisiennes
quarries;ARCH_SPACE;carrières
restoration site;ARCH_SPACE;site de restauration
restoration worksite;ARCH_SPACE;chantier de restauration
restoration yards;ARCH_SPACE;aires de restauration
restored sections;ARCH_SPACE;sections restaurées
ritual spaces;ARCH_SPACE;espaces rituels
roof space;ARCH_SPACE;espace sous-toiture
Saint Éloi chapel;ARCH_SPACE;chapelle Saint-Éloi
Sainte-Chapelle;ARCH_SPACE;Sainte-Chapelle
Saint-Ferdinand chapel;ARCH_SPACE;chapelle Saint-Ferdinand
Saint-Maximin quarry;ARCH_SPACE;carrière de Saint-Maximin
sanctuary;ARCH_SPACE;chœur
scientific worksites;ARCH_SPACE;chantiers scientifiques
second Gothic choir;ARCH_SPACE;deuxième chœur gothique
section of the choir;ARCH_SPACE;section du chœur
secure locations;ARCH_SPACE;lieux sécurisés
site;ARCH_SPACE;site
sites;ARCH_SPACE;sites
solid carpentry platform;ARCH_SPACE;plateforme de charpente solide
soundscape;ARCH_SPACE;paysage sonore
Southern transept;ARCH_SPACE;transept sud
space;ARCH_SPACE;espace
special photographic chambers;ARCH_SPACE;chambres photographiques spéciales
specific areas;ARCH_SPACE;zones spécifiques
stone construction platform;ARCH_SPACE;plateforme de construction en pierre
storage under marquees;ARCH_SPACE;stockage sous chapiteaux
timber platform;ARCH_SPACE;plateforme en bois
transept crossing;ARCH_SPACE;croisée du transept
upper bays;ARCH_SPACE;baies supérieures
vault;ARCH_SPACE;voûte
warehouse;ARCH_SPACE;entrepôt
western façade;ARCH_SPACE;façade ouest
work site;ARCH_SPACE;chantier
worksite;ARCH_SPACE;chantier
zone;ARCH_SPACE;zone
19th-century lead;CHEM_COMPOUND;plomb du XIXe siècle
206Pb/207Pb;CHEM_COMPOUND;206Pb/207Pb
208Pb/206Pb;CHEM_COMPOUND;208Pb/206Pb
232Th;CHEM_COMPOUND;232Th
235U;CHEM_COMPOUND;235U
238U;CHEM_COMPOUND;238U
acetone;CHEM_COMPOUND;acétone
Ag;CHEM_COMPOUND;Ag
albite;CHEM_COMPOUND;albite
antimony;CHEM_COMPOUND;antimoine
aqua regia;CHEM_COMPOUND;aqua regia
aragonite;CHEM_COMPOUND;aragonite
Bi;CHEM_COMPOUND;Bi
bismuth;CHEM_COMPOUND;bismuth
calcite;CHEM_COMPOUND;calcite
Calcium;CHEM_COMPOUND;calcium
calcium silicate hydrate;CHEM_COMPOUND;hydrure de silicate de calcium
CaO;CHEM_COMPOUND;oxyde de calcium
carbon;CHEM_COMPOUND;carbone
Carbon cresting;CHEM_COMPOUND;crête de carbone
Cd;CHEM_COMPOUND;cadmium
cellulose;CHEM_COMPOUND;cellulose
chemical treatment;CHEM_COMPOUND;traitement chimique
contaminants;CHEM_COMPOUND;contaminants
coolant reactants;CHEM_COMPOUND;réactifs refroidissants
C-S-H;CHEM_COMPOUND;C-S-H (hydrure de silicate de calcium)
Cu;CHEM_COMPOUND;cuivre
decay period of 14C;CHEM_COMPOUND;période de désintégration du 14C
demineralized water;CHEM_COMPOUND;eau déminéralisée
Differences in lead elemental signatures;CHEM_COMPOUND;différences dans les signatures élémentaires de plomb
elemental concentrations of metals and metalloids;CHEM_COMPOUND;concentrations élémentaires de métaux et métalloïdes
Ellagitannins;CHEM_COMPOUND;ellagittannins
environmental contamination;CHEM_COMPOUND;environmental contamination
enzyme;CHEM_COMPOUND;enzyme
ethanol;CHEM_COMPOUND;éthanol
evaporative fractionation;CHEM_COMPOUND;fractionnement évaporatif
geochemical lead;CHEM_COMPOUND;plomb géochimique
gypsum;CHEM_COMPOUND;gypse
hemicellulose;CHEM_COMPOUND;hémicellulose
interaction of lead compounds with different materials;CHEM_COMPOUND;interaction des composés de plomb avec différents matériaux
internal lead sources;CHEM_COMPOUND;sources internes de plomb
Iron oxide;CHEM_COMPOUND;oxyde de fer
iron oxides;CHEM_COMPOUND;oxydes de fer
isotopic compositions;CHEM_COMPOUND;compositions isotopiques
isotopic ratios in Notre Dame wood;CHEM_COMPOUND;rapports isotopiques dans le bois de Notre-Dame
issues related to lead use;CHEM_COMPOUND;problèmes liés à l'utilisation du plomb
issues related to the use of lead;CHEM_COMPOUND;problèmes liés à l'usage du plomb
lead compounds;CHEM_COMPOUND;composés de plomb
lead isotopes;CHEM_COMPOUND;isotopes de plomb
lead-rich dusts;CHEM_COMPOUND;poussières riches en plomb
lignin;CHEM_COMPOUND;lignine
metalloids;CHEM_COMPOUND;métalloïdes
nature of the oxide compounds layer formed;CHEM_COMPOUND;nature de la couche de composés d'oxyde formée
organic compounds;CHEM_COMPOUND;composés organiques
oxygen;CHEM_COMPOUND;oxygène
Pb;CHEM_COMPOUND;Pb
Phosphorus;CHEM_COMPOUND;phosphore
polymerization;CHEM_COMPOUND;polymérisation
polypropylene;CHEM_COMPOUND;polypropylène
portlandite;CHEM_COMPOUND;portlandite
quartz;CHEM_COMPOUND;quartz
quartz β;CHEM_COMPOUND;quartz β
radioactive isotope;CHEM_COMPOUND;isotope radioactif
rhombohedral calcite;CHEM_COMPOUND;calcite rhomboédrique
Rubisco enzyme;CHEM_COMPOUND;enzyme Rubisco
Sb;CHEM_COMPOUND;Sb
Silica;CHEM_COMPOUND;silice
Sn;CHEM_COMPOUND;Sn
SO3;CHEM_COMPOUND;SO3
sodium thiosulfate;CHEM_COMPOUND;thiosulfate de sodium
stables isotopes of lead (204Pb, 206Pb, 207Pb, 208Pb);CHEM_COMPOUND;isotopes stables du plomb (204Pb, 206Pb, 207Pb, 208Pb)
sugar;CHEM_COMPOUND;sucre
Sulfate;CHEM_COMPOUND;sulfate
sulphates;CHEM_COMPOUND;sulfates
Tannin family;CHEM_COMPOUND;famille des tanins
tridymite;CHEM_COMPOUND;tridymite
wood cellulose;CHEM_COMPOUND;cellulose de bois
colorimetric data;COLOR;données colorimétriques
colorimetric domains;COLOR;domaines colorimétriques
colourless;COLOR;incolore
painted borders;COLOR;bordures peintes
RGB domain;COLOR;domaine RGB
uncoloured glass;COLOR;verre incolore
coloration;COLOR;coloration
tone;COLOR;tonalité
hue;COLOR;teinte
saturated;COLOR;saturé
pale;COLOR;pâle
intense;COLOR;intense
mat;COLOR;mat
shine;COLOR;lustre
shiny;COLOR;brillant
spotting;COLOR;moucheture
patina;COLOR;patine
oxidation;COLOR;oxydation
bleaching;COLOR;décoloration
warmed up;COLOR;réchauffé
metallic reflections;COLOR;reflets métalliques
shade;COLOR;nuance
gradient;COLOR;dégradé
chromatic field;COLOR;champ chromatique
colour palette;COLOR;palette de couleurs
colour range;COLOR;gamme colorée
stain;COLOR;coulis
colour conservation;COLOR;conservation des couleurs
fluorescence;COLOR;fluorescence
polychrome reflections;COLOR;reflets polychromes
temporary paint;COLOR;peinture temporaire
mineral pigment;COLOR;pigment minéral
organic pigment;COLOR;pigment organique
natural dye;COLOR;colorant naturel
primary colour;COLOR;couleur primaire
secondary colour;COLOR;couleur secondaire
chromatic palette;COLOR;palette chromatique
grey scale;COLOR;échelle de gris
coloured contrast;COLOR;contraste coloré
artificial pigment;COLOR;pigmentant artificiel
colour sampling;COLOR;échantillonnage couleur
faded;COLOR;effacé
white;COLOR;blanc
black;COLOR;noir
red hue;COLOR;teinte rouge
Art Graphique et Patrimoine;COMPANY;Art Graphique et Patrimoine
Art graphique et patrimoine company (AGP);COMPANY;société Art Graphique et Patrimoine (AGP)
ARTEMIS;COMPANY;ARTEMIS
Arts Graphiques et Patrimoine;COMPANY;Arts Graphiques et Patrimoine
BESTREMA engineering office;COMPANY;bureau d'ingénierie BESTREMA
Carlos;COMPANY;Carlos
Carlos B.V.;COMPANY;Carlos B.V.
Carpenter;COMPANY;charpentier
Carpenter without Borders;COMPANY;charpentier sans frontières
Carpenters without borders;COMPANY;charpentiers sans frontières
carpenters’ corporation;COMPANY;corporation des charpentiers
Compagnons Passants Charpentiers du Devoir;COMPANY;Compagnons Passants Charpentiers du Devoir
company SGLM;COMPANY;entreprise SGLM
corporations;COMPANY;corporations
DreamAway;COMPANY;DreamAway
Durand company;COMPANY;entreprise Durand
Europe Échafaudage scaffolding company;COMPANY;entreprise Europe Échafaudage
FlyView;COMPANY;FlyView
Friends of Notre-Dame;COMPANY;Amis de Notre-Dame
GEA;COMPANY;GEA
Histovery company;COMPANY;entreprise Histovery
Hôtel and esplanade of the Invalides;COMPANY;Hôtel et esplanade des Invalides
Jarnias;COMPANY;Jarnias
Life3D company;COMPANY;société Life3D
Loïc Espinasse;COMPANY;Loïc Espinasse
Mercurio;COMPANY;Mercurio
Pierrenoël;COMPANY;Pierrenoël
private companies;COMPANY;entreprises privées
Sotheby’s;COMPANY;Sotheby’s
Vannucci;COMPANY;Vannucci
Zimmer;COMPANY;Zimmer
architectural construction;CONSTRUCTION_ACT;construction architecturale
architectural design;CONSTRUCTION_ACT;conception architecturale
architectural history;CONSTRUCTION_ACT;histoire de l'architecture
assembly details;CONSTRUCTION_ACT;détails d'assemblage
association of metals in the building strategy;CONSTRUCTION_ACT;association des métaux dans la stratégie de construction
Beginning of Notre-Dame construction;CONSTRUCTION_ACT;début de la construction de Notre-Dame
beginning of the construction of the choir;CONSTRUCTION_ACT;début de la construction du chœur
